Index,STATION,LINENAME,unique_name,NTA dist ID,NTA dist name,Univ_near,University Name,Flatiron district,Dumbo
388,NORTHERN BLVD,MR,NORTHERN BLVD - MR,,,N,,N,N
389,NORWOOD 205 ST,D,NORWOOD 205 ST - D,,,N,,N,N
390,NORWOOD AV,JZ,NORWOOD AV - JZ,,,N,,N,N
391,NOSTRAND AV,3,NOSTRAND AV - 3,,,N,,N,N
392,NOSTRAND AV,AC,NOSTRAND AV - AC,,,N,,N,N
393,OCEAN PKWY,Q,OCEAN PKWY - Q,,,N,,N,N
394,ORCHARD BEACH,6,ORCHARD BEACH - 6,,,N,,N,N
395,OZONE PK LEFFRT,A,OZONE PK LEFFRT - A,,,N,,N,N
396,PARK PLACE,23ACE,PARK PLACE - 23ACE,,,N,,N,N
397,PARK PLACE,S,PARK PLACE - S,,,N,,N,N
398,PARKCHESTER,6,PARKCHESTER - 6,,,N,,N,N
399,PARKSIDE AV,BQ,PARKSIDE AV - BQ,,,N,,N,N
400,PARSONS BLVD,F,PARSONS BLVD - F,,,N,,N,N
401,PATH NEW WTC,1,PATH NEW WTC - 1,,,N,,N,N
402,PATH WTC 2,1,PATH WTC 2 - 1,,,N,,N,N
403,PAVONIA/NEWPORT,1,PAVONIA/NEWPORT - 1,,,N,,N,N
404,PELHAM BAY PARK,6,PELHAM BAY PARK - 6,,,N,,N,N
405,PELHAM PKWY,25,PELHAM PKWY - 25,,,N,,N,N
406,PELHAM PKWY,5,PELHAM PKWY - 5,,,N,,N,N
407,PENNSYLVANIA AV,3,PENNSYLVANIA AV - 3,,,N,,N,N
408,PRESIDENT ST,25,PRESIDENT ST - 25,BK63,Crown Heights South,Y,City University of New York,N,N
409,PRINCE ST,NRW,PRINCE ST - NRW,,,N,,N,N
410,PROSPECT AV,25,PROSPECT AV - 25,,,N,,N,N
411,PROSPECT AV,R,PROSPECT AV - R,BK37,Park Slope-Gowanus,N,,N,N
412,PROSPECT PARK,BQS,PROSPECT PARK - BQS,,,N,,N,N
413,QUEENS PLAZA,EMR,QUEENS PLAZA - EMR,,,N,,N,N
414,QUEENSBORO PLZ,7NQW,QUEENSBORO PLZ - 7NQW,,,N,,N,N
415,RALPH AV,C,RALPH AV - C,,,N,,N,N
416,RECTOR ST,1,RECTOR ST - 1,MN25,Battery Park City-Lower Manhattan,N,,N,N
417,RECTOR ST,NRW,RECTOR ST - NRW,MN25,Battery Park City-Lower Manhattan,N,,N,N
418,RIT-MANHATTAN,R,RIT-MANHATTAN - R,,,N,,N,N
419,RIT-ROOSEVELT,R,RIT-ROOSEVELT - R,,,N,,N,N
420,ROCKAWAY AV,3,ROCKAWAY AV - 3,,,N,,N,N
421,ROCKAWAY AV,C,ROCKAWAY AV - C,,,N,,N,N
422,ROCKAWAY BLVD,A,ROCKAWAY BLVD - A,,,N,,N,N
423,ROCKAWAY PARK B,AS,ROCKAWAY PARK B - AS,,,N,,N,N
424,ROOSEVELT ISLND,F,ROOSEVELT ISLND - F,,,N,,N,N
425,SARATOGA AV,3,SARATOGA AV - 3,,,N,,N,N
426,SENECA AVE,M,SENECA AVE - M,,,N,,N,N
427,SHEEPSHEAD BAY,BQ,SHEEPSHEAD BAY - BQ,,,N,,N,N
428,SHEPHERD AV,C,SHEPHERD AV - C,,,N,,N,N
429,SIMPSON ST,25,SIMPSON ST - 25,,,N,,N,N
430,SMITH-9 ST,FG,SMITH-9 ST - FG,BK37,Park Slope-Gowanus,N,,N,N
431,SOUTH FERRY,1RW,SOUTH FERRY - 1RW,MN25,Battery Park City-Lower Manhattan,N,,N,N
432,SPRING ST,6,SPRING ST - 6,,,N,,N,N
433,SPRING ST,CE,SPRING ST - CE,,,N,,N,N
434,ST LAWRENCE AV,6,ST LAWRENCE AV - 6,,,N,,N,N
435,ST. GEORGE,1,ST. GEORGE - 1,,,N,,N,N
436,STEINWAY ST,MR,STEINWAY ST - MR,,,N,,N,N
437,STERLING ST,25,STERLING ST - 25,,,N,,N,N
438,SUTPHIN BLVD,F,SUTPHIN BLVD - F,,,N,,N,N
439,SUTPHIN-ARCHER,EJZ,SUTPHIN-ARCHER - EJZ,,,N,,N,N
440,SUTTER AV,L,SUTTER AV - L,,,N,,N,N
441,SUTTER AV-RUTLD,3,SUTTER AV-RUTLD - 3,,,N,,N,N
442,THIRTY ST,1,THIRTY ST - 1,,,N,,N,N
443,THIRTY THIRD ST,1,THIRTY THIRD ST - 1,,,N,,N,N
